subject,Customer,Location,Rating,date_time,Views,complaint,Total_reviews_by_customer,Customer_follower
Cheaters,ambajirao_a,Bangalore India,1,"Apr 22, 2014 05:22 PM",9558 Views,"Third class service and they are cheaters. Never ever opt for this. While taking money they are not bothered about the identity of person giving money but while refund or surrender of policy they want to communicate with policy owner only and that too with registered mobile number and phone number.
When the policy is surrendered they try to misguide the policy owner by saying that the NAV will increase and cancel the surrendered request and they don't even respond when surrendered the policy second time.
There is no benefit of any of the metlife policy and they just want to make profit from customers money. I was paying premium of Rs 25000 and out of which Rs 3000 is deducted every year from profit which is 12% of invested amount.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,1 Follower
"Well, think again!!!!!",deekshasethi,new delhi india,4,"Mar 13, 2006 09:41 PM",3548 Views,"Its true that insurance is a services based industry and that it is very important to know the status of ur plan for a customer but I feel that when a person buys a paln, he sure has a plan and if not, his advisor does. it is entrirely not the responsibility of the company to be update about the clients profile and product status. don u think u should have also thought about it, once before u blasted out on the company?????
well I think u should have and u need to be a lot more careful about ur premium payments because before u start cursing Metlife, all I would like to remind of is the fact that the very reason that privatisation happened was that the services of LIC were not upto the mark. so I mean just give it an honest shot and accept ur side of the fault.
secondly as u said about the flood, well is it not possible that the reminders were also lost in that flood.
thirdly and most importantly, no policy ever lapses by non payment of single premium. so all u have to do is, pay the balance premium and ur policy will be in full force and if u don believe me, ask ur trusted LIC agent and for God's sake, get some knowledge about insurance.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",7 Reviews,6 Followers
Metlife is the worst insurance company,lijok,Kochi India,1,"Jun 04, 2013 09:08 AM",9311 Views,"I have taken a Metlife policy in 2008 August when the sen-sex was down.
I was planning to put the money as Fixed deposit. But the bank people insist me to take the Metlife policy. They said I need to pay only for three years and after three years the amount will become double. I have invested Rs. 75000 and today, after six years it's value is 71000.
Still,  I thought of taking the amount but they said there is a locking period of 10 years and if I take now, I will get only 54000.
It's very sad that my hard-earned money is with this people.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
HAVE U MET LIFE TODAY??????,Kiran4,mumbai india,4,"Oct 14, 2004 02:06 PM",15309 Views,"Scene 1 : A lady weeping besides the dead body of her Husband....her 3yr old son quite oblivious to what had happened just wiping his mothers tears...her 5 yr old daughter cud understand something has happened to her dad..she sits besides him trying to wake him up....
The lady had shared some of her wonderful moment with her hubby but now she will be alone left with the responsibility of the house and her kids...
They had recently bought their house on loan and the installments are still pending...
So many questions come to her mind for which she has no answers....
Can u imagine her condition.....She is just a house wife and she has the following responsibilities on her..
1) To Pay back their housing loan.
2) To have a sound income for the household expenses
3) To accumulate a suitable corpus for her children?s education
4) To accumulate a reasonable corpus for her daughters wedding.
5) To Have a retirement corpus for herself.
Scene 2 :Someone knocks her door..She sees a known face and suddenly she gets relieved of half of her tension?It?s the Insurance agent with whom her hubby used to always discuss about various plans?He had come to her place on hearing about the incident. This agent quickly goes thru his data and asks her to show her all the policies which her hubby had taken. Finally she gets something to bring a smile on her face amongst such trying conditions..She comes to know that her hubby had taken a policy for all her needs..HE had planned it very well and covered Majority of her requirements?
Well this was just an example ..of how worse the situation could be when the main bread winner of the family meets with ill fate of destiny?
Luckily the lady?s husband had a foresight and had planned it well ..But are everyone so foresighted or lucky??
CAN WE TOO BRING A SMILE ON OUR DEAR ONE?S FACE when we are no longer here..Well atleast we can try to..
WE all know what Insurance is ?But its meaning has changed recently?
For Majority of people its just a TAX SAVINGdevice..
For some others its an Investment which covers life also..
For VERY few Insurance means Purely Insurancewith only life cover.
Insurance Basically form three sectors
1) Protection
2) Accumulation
3) Retirement
Protection ensures that your obligations are met in the event of death or disability.
Accumulation involves developing a sound plan to assist you in paying for Education, marriage expenses and buying a Home.
And Retirement provides for additional income to supplement existing Savings and Investments.
The Most important asset we have is our lives and many people don?t bother to have it adequately insured.
There was this amazing statistics Which I came across during my training ..
It said that ?Out of every four people 1 will not see his 60th birthday and the rest three will, but all of them will require Insurance.
Well Now Since I know something about METLIFE INDIA INSURANCEbeing a financial adviser for the same. I would like to discuss a few things about the company as well as the policies.
Ok I will discuss the company and policies to the extent not sounding like a salesperson.
Metlife is an US based company Having its Indian Main office at Bangalore.
Metlife(Metropolitan Life Insurance Company) USA was founded in 1868.
Having 135 years of operations it is the Numero Uno Life Insurance Company in US
Its present in 10 countries across the world as of the recent info which I have.
It?s in the 36th ranking in the fortune 500 companies.
It services 88 of the Fortune 100 companies.
Well U can visit the site  http://www.metlifeindia.com
Well Metlife India is an affiliate of Metropolitan Life Insurance Company. It has started its India operations since the last 3-4 years.
The policies which really attracted me much are.
1)Met Ultimate : The best policy any one can have. It?s a policy which covers ones life for 100 years. It?s a master policy and If u Insure urself properly with this plan u don?t have to take any other policy.
Features.
------------
The Premium amount is used to cover your Insurance as well as the company opens an account in your name where a part of the money from the premium is deposited. It just acts like a savings account which attracts a minimum guaranteed interest of 3.5% .
U can also withdraw the sum in ur account after two years.
If u feel the company is paying good returns u can deposit amount in your account whenevr u have excess money.
If u feel u don?t have the money to pay premiums after the first three years u can skip paying premium for a year or two provided your account has got the required amount.
If u feel u wont be able to keep up with the premium u can reduce the Sum Assured after three years.
So u can use this policy as a savings option, As an emergency fund, as a Retirement policy and also as a legacy.
Limitation:
------------
It has a high premium .. A sum assured of 1 lac attracts a premium of about 6,000/- approx. annually for a 26 year old person
2)MetSuraksha TROP:TROP means Total Return of Premium.
Features.
------------
It acts in the same way. This policy can be used to cover once life for 20 years and then get back whatever money he has spent on premium along with a guaranteed 10% bonus, if he survives the policy period. IF he doesnt he gets back the entire sum assured.
The premiums are much lower as compared to MET ULTIMATE.
For a 26 year old a sum assured of 10 lacs attracts a premium of approx . 5000/-annually
Limitation:
------------
No money back in between 20 years except on death of the Insured.
3)Met Bhavishya:This is an ideal policy for Kids. One of the conditions which Metlife places is that Parents also must be adequately insured before insuring their child. This guides the moral aspect as there have been many instances of Parents insuring in the child?s name and practicing some immoral acts.
Met Bhavishya is taken in the name of the parent for the benefit of the kid.
Features.
------------
It properly plans the way in which one should get back their money during crucial period of their kids career.
It has a money back option when the child attains an age of 15,17,20 and further for professional education.
So one can plan their kids education as well as marriage with this policy.
Limitation:
------------
Well the premium is usually high Similar to Met Ultimate.
A 1 lac policy attracts a premium of Rs 6,000 annually.
Either of the parents should be insured with atleast the same amount of sum assured which they plan for their kid to be insured. This is not as such a limitation but a bottleneck for people who just want their kids to be insured and cant afford high premium payment every year.
contd......in comments
...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",15 Reviews,28 Followers
Irresponsible persons  working over there in PNB,srikanthkumar.a,Bengaluru/ Bangalore India,1,"May 31, 2017 07:30 PM",3480 Views,"Once policy created, no one look back  to customers for any kind of issues. irresponsible persons only working over there . customer care is too worst they don't know what is insurance policy.  Especially online system, premium values will show vary, if we complaint also they dont know how to  correct it.Especially online system, premium values will show vary, if we complaint also they dont know how to  correct it.
so  please be away this kind of insurance companies.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
So far so good,vijayv82,Chennai India,4,"Apr 14, 2011 11:59 AM",4692 Views,"My requirement:
Iam Vijay aged 29. I was looking for a pure term plan as I didn't wanted to mix insurance and investment. I wanted the SI to be ~ 50 L for a term of 30-35 years
My initial research: I explored almost all insurance companies.IRDA annual reports. Started with LIC. LIC is good in terms of claim settlement and reliability, but the premium rates are very high.
I decided to buy a term insurance online since the premium are low. the premium is low thru online because they give the benefit to customers rather than agents taking the commission. LIC doesnt have an online buying option at cheaper rate as metlife, ICICI or KOtak has.
My initial preference was ICICI pru. But I stayed away from it reading the reviews from mouthshut. Looks like some of customers has not even received their policy document. Same issue with KOtak as well. After going thru reviews of metlife, I was convinced to go further.
My online puchase went seamlessly. I went for 55 L cover. After few days I got a call from metlife for medical check up and document collection. Medical chk up happened in my house with no hassle. Then a collection agent came to my place to collect documents. Initially when registering, they only asked for pay slip for income proof. But later, they started asking for ITR froms. Looks like they were not clear about what to collect, this irritated me to some extent. After I gave my scanned copies of ITR, I got my policy doc couriered in 3 days. with policy date commencing from my online registration date. Throughout the process, metlife did several follow-ups with me and showed interest in completing the transaction. I didnt had to bug them at any point of time.As far as the ""range of plan"" metlife has 35 year term plan where no other pvt insurance company has. My experience so far with metlife is better than I expected it would be.
Hope you would find my review useful and thanks to other who have been reviewing in MS. Your reviews helped me not to go in for ICICI / Kotak.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,null
Pnb Metlife,sohitdhiman12,Dwarka India,5,"Sep 28, 2018 05:27 PM",952 Views,"PNB metlife insurance befits are good they gave me accidental.critical illiness cover with rider cover rider upto age of 75 years.I am paying the monthly premium of 1500 it has the term of 35 years.My nominees will get the sum assured of 2 crore from the insurance company.I pay my premium on monthly bases through ECS and the payment option are convenient for me.coustomer care response and other things are also good.I am happy with having this service of PNB metlife insurance thanks.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",198 Reviews,46 Followers
Evaluate carefully before choosing!,IndianReviewer,banglaore india,2,"Feb 24, 2014 12:15 PM",8334 Views,"Evaluate carefully before choosing.
Do not fall for that you have to pay only for 5 years. Because premium is high. For eg. premium for 1 crore cover is 50000 and you pay for 5 years totalizing 2.5 lac.
Now if you take conventional yearly cover for 25 year term, premium is around 12000. Suppose you go for it and you save 38000 every year for 5 years.= 1.9 lac
Now out of this 1.9 lac, if you FD it say at 8-9% approx return yearly= 15000. With that you can pay 12000 yearly as premium and save 3000 every year and invest it.
At the end of term you will have 20*3000= 60000+ compounded interest which will take it well over 2 lakhs. So you end up saving 2 lakhs or more. This is just conservative calculation. You may save more.
So evaluate carefully because I feel normal online term plan is more cost effective.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",3 Reviews,null
HEAVY LOSSES ON PNB METSMART PLATINUM- NEVERBUY!!,aggrwalmeha,Delhi India,1,"Sep 09, 2015 02:24 PM",9355 Views,"I am a life insurance policy holder of PNB Metife, policy number- 21389787. Only God knows what is happening with the fund value. My fund value of approx INR 3, 06, 000. After, I have paid my premium of INR 22, 000, the fund value has lowered to 3, 02, 000.
THE CUSTOMER CARE IS NON RESPONSIVE AND RIDICULOUS. ONE OF THE WORST DECISIONS IN MY LIFE WAS CHOOSING PNB METLIFE.
They should literally fire all there fund managers and insurance agents. My insurance agent Ms. Ritu Sharma, who sits at PNB Mall Road Branch Delhi, near Vishvavidyalaya Metro Station. misguided me and did not reveal anything about such heavy charges which are levied unnecessarily every month.Never, believe that lady.! She literally lied on my face.
I am disheartened at such negative returns. My policy running under a value of INR 24, 000, even after 15 months of policy issuance.
NEVER GO FOR PNBMETLIFE!
Really disappointed. Their higher authorities should really get a a realty check and FIRE ITS FUND MANAGERS.!
USELESS AND LOSS MAKING POLICY!
STOP PLAYING WITH PEOPLE'S HARD EARNED MONEY!

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,1 Follower
Metlife India Life Insurance premium hassles,gdgupta,Chandigarh India,2,"Jun 08, 2009 06:38 PM",4234 Views,"I would like to share my experience with all you how are planning to take a life insurance policy from METLIFE beware. firstly, the agent don't have proper information about the plans that they are selling this guy came to me with a plan which he didn't knew about, each time I would put a query he will call his boss and take instructions.... secondly, he took an extra amount for the first premium telling me that these are policy charges but to my amazement when next premium renewal letter was received it was mentioned that I have paid that extra premium along with the first premium that that stands adjusted..
Now, Last month I received an SMS from the comapny informing me that my premium has been changed for 1st may onwards. Amazed, I got in touch with the agent and customer care.. The agent said he ahs been promoted to a sales manager rank and is busy to take any calls will ask somebody to get in touch, and till today past 1 month I am still waiting for that person to contact me.. in the meanwihile I worte a mail to customer care
The reply from Mettlife..
""we would like to inform you that the increase in Modal premium is due to service tax applicable on the premium amount. This is in line with Goverment notification dated 10, May 2008, (Notification No. 18/2008), wherein all existing as well as new unit linked policies will attract Service Tax at the rate of 10.30% (inlusive of education cess).""
I replied back with the query that ""why only Metlife has increased the premium...""
Metlife's Reply
""We acknowledge the fact that there has been no cahnge or amendement in the Service Tax nortification Since 01 May 2009.""
What does this comapny thinks of us that we sitting here are fools or something Just want an honest reply from all you, Is it justified to change the premium once you have paid 2 premiums for a life insurance product.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
