Year,Domestic,Commercial,Industry,Traction,Agriculture,Others
1951,12.6,7.5,62.6,7.4,3.9,6
1961,10.7,6.1,69.4,3.3,6,4.5
1971,8.8,5.9,67.6,3.2,10.2,4.3
1981,11.2,5.7,58.4,2.7,17.6,4.4
1982,11.6,5.8,58.8,2.8,16.8,4.2
1983,12.7,6.1,55.4,2.8,18.6,4.4
1984,12.9,6.4,55.8,2.6,17.8,4.5
1985,13.6,6.1,55.2,2.5,18.4,4.2
1986,14,5.9,54.5,2.5,19.1,4
1987,14.2,5.7,51.7,2.4,21.7,4.3
1988,15.2,6.1,47.5,2.5,24.2,4.5
1989,15.5,6.2,47.1,2.3,24.3,4.6
1990,16.9,5.4,46,2.3,25.1,4.3
1991,16.8,5.9,44.2,2.2,26.4,4.5
1992,17.3,5.8,42,2.2,28.2,4.5
1993,18,5.7,40.9,2.3,28.7,4.4
1994,18.2,5.9,39.6,2.3,29.7,4.3
1995,18.5,6.1,38.6,2.3,30.5,4
1996,18.7,6.1,37.8,2.3,30.9,4.2
1997,19.7,6.2,37.2,2.4,30,4.5
1998,20.3,6.5,35.4,2.3,30.8,4.7
1999,21,6.4,33.9,2.4,31.4,4.9
2000,22.2,6.3,34.8,2.6,29.2,4.9
2001,23.9,7.1,34,2.6,26.8,5.6
2002,24.7,7.5,33.3,2.5,25.3,6.7
2003,24.6,7.5,33.9,2.6,24.9,6.5
2004,24.9,7.8,34.5,2.6,24.1,6.1
2005,24.8,8.1,35.6,2.5,22.9,6.1
2006,24.3,8.7,36.8,2.4,21.9,5.9
2007,24.4,8.8,37.6,2.4,21.7,5.1
2008,24,9.2,37.5,2.2,20.6,6.5
2009,24.7,10.2,37.1,2.2,20.4,5.4
2010,24.9,10.4,36.7,2.2,21,4.8
2011,25.2,10.4,36.5,2.2,20.5,5.4
