,QueryImageName,QueryImageClass,Top1 ImgCls,Top2 ImgCls,Top3 ImgCls,Top4 ImgCls,Top5 ImgCls,Top1 similaritys,Top2 similaritys,Top3 similaritys,Top4 similaritys,Top5 similaritys
0,image_01748.jpg,83,83,82,83,78,78,0.79,0.75,0.69,0.71,0.74
1,image_01876.jpg,78,78,78,78,78,88,0.82,0.75,0.76,0.73,0.65
2,image_01898.jpg,78,78,78,78,82,82,0.85,0.83,0.86,0.79,0.8
3,image_00460.jpg,88,89,82,82,88,82,0.6,0.66,0.65,0.68,0.64
4,image_01148.jpg,74,83,74,51,51,89,0.65,0.7,0.7,0.71,0.74
5,image_00923.jpg,81,81,78,82,81,81,0.75,0.72,0.75,0.77,0.76
6,image_00154.jpg,77,77,77,77,77,82,0.89,0.84,0.85,0.79,0.78
7,image_00092.jpg,77,77,77,77,89,77,0.73,0.77,0.77,0.74,0.75
8,image_01275.jpg,74,74,74,81,74,51,0.76,0.67,0.78,0.7,0.68
9,image_01169.jpg,74,74,89,89,51,82,0.76,0.73,0.73,0.67,0.71
10,image_01115.jpg,46,46,46,46,46,46,0.81,0.71,0.81,0.84,0.72
11,image_00163.jpg,77,77,77,77,77,77,0.72,0.77,0.79,0.74,0.76
12,image_00911.jpg,81,81,82,78,73,81,0.76,0.77,0.82,0.85,0.85
13,image_01595.jpg,82,82,77,82,46,77,0.76,0.78,0.78,0.65,0.62
14,image_00433.jpg,73,73,83,78,81,81,0.78,0.73,0.75,0.71,0.68
15,image_01427.jpg,51,51,51,51,51,51,0.69,0.69,0.66,0.73,0.73
16,image_01623.jpg,82,82,82,82,82,82,0.74,0.78,0.81,0.67,0.71
17,image_00764.jpg,89,89,81,44,83,89,0.71,0.69,0.66,0.72,0.73
18,image_00164.jpg,77,77,77,83,78,77,0.71,0.77,0.64,0.63,0.71
19,image_00893.jpg,81,82,81,81,81,81,0.79,0.85,0.81,0.84,0.85
20,image_00370.jpg,73,88,88,88,88,74,0.61,0.61,0.6,0.59,0.57
21,image_00979.jpg,46,46,46,46,46,46,0.74,0.75,0.71,0.76,0.82
22,image_01438.jpg,51,51,51,51,51,51,0.7,0.66,0.63,0.65,0.63
