   Time, X, Y
   0.000,  -9.616,   5.718
   0.002,  -9.638,   5.718
   0.004,  -9.660,   5.717
   0.006,  -9.636,   5.734
   0.008,  -9.610,   5.766
   0.010,  -9.656,   5.749
   0.012,  -9.678,   5.748
   0.014,  -9.674,   5.780
   0.016,  -9.676,   5.764
   0.018,  -9.697,   5.764
   0.020,  -9.697,   5.764
   0.022,  -9.676,   5.764
   0.024,  -9.676,   5.764
   0.026,  -9.676,   5.764
   0.028,  -9.674,   5.780
   0.030,  -9.674,   5.780
   0.032,  -9.676,   5.764
   0.034,  -9.678,   5.748
   0.036,  -9.699,   5.748
   0.038,  -9.699,   5.748
   0.040,  -9.697,   5.764
   0.042,  -9.699,   5.748
   0.044,  -9.699,   5.748
   0.046,  -9.721,   5.747
   0.048,  -9.745,   5.731
   0.050,  -9.786,   5.746
   0.052,  -9.849,   5.760
   0.054,  -9.847,   5.776
   0.056,  -9.847,   5.776
   0.058,  -9.845,   5.792
   0.060,  -9.822,   5.808
   0.062,  -9.820,   5.824
   0.064,  -9.800,   5.809
   0.066,  -9.777,   5.825
   0.068,  -9.798,   5.825
   0.070,  -9.773,   5.857
   0.072,  -9.771,   5.873
   0.074,  -9.749,   5.873
   0.076,  -9.751,   5.857
   0.078,  -9.751,   5.857
   0.080,  -9.794,   5.856
   0.082,  -9.794,   5.856
   0.084,  -9.775,   5.841
   0.086,  -9.777,   5.825
   0.088,  -9.818,   5.840
   0.090,  -9.800,   5.809
   0.092,  -9.798,   5.825
   0.094,  -9.777,   5.825
   0.096,  -9.820,   5.824
   0.098,  -9.796,   5.841
   0.100,  -9.798,   5.825
   0.102,  -9.800,   5.809
   0.104,  -9.777,   5.825
   0.106,  -9.755,   5.826
   0.108,  -9.822,   5.808
   0.110,  -9.798,   5.825
   0.112,  -9.796,   5.841
   0.114,  -9.798,   5.825
   0.116,  -9.779,   5.809
   0.118,  -9.777,   5.825
   0.120,  -9.800,   5.809
   0.122,  -9.802,   5.793
   0.124,  -9.780,   5.793
   0.126,  -9.780,   5.793
   0.128,  -9.802,   5.793
   0.130,  -9.782,   5.777
   0.132,  -9.826,   5.776
   0.134,  -9.806,   5.761
   0.136,  -9.806,   5.761
   0.138,  -9.761,   5.778
   0.140,  -9.802,   5.793
   0.142,  -9.826,   5.776
   0.144,  -9.827,   5.761
   0.146,  -9.806,   5.761
   0.148,  -9.827,   5.761
   0.150,  -9.826,   5.776
   0.152,  -9.784,   5.762
   0.154,  -9.784,   5.762
   0.156,  -9.784,   5.762
   0.158,  -9.784,   5.762
   0.160,  -9.782,   5.777
   0.162,  -9.804,   5.777
   0.164,  -9.802,   5.793
   0.166,  -9.802,   5.793
   0.168,  -9.804,   5.777
   0.170,  -9.824,   5.792
   0.172,  -9.780,   5.793
   0.174,  -9.845,   5.792
   0.176,  -9.845,   5.792
   0.178,  -9.843,   5.808
   0.180,  -9.824,   5.792
   0.182,  -9.822,   5.808
   0.184,  -9.798,   5.825
   0.186,  -9.818,   5.840
   0.188,  -9.820,   5.824
   0.190,  -9.794,   5.856
   0.192,  -9.775,   5.841
   0.194,  -9.841,   5.824
   0.196,  -9.818,   5.840
   0.198,  -9.836,   5.872
   0.200,  -9.838,   5.856
   0.202,  -9.836,   5.872
   0.204,  -9.836,   5.872
   0.206,  -9.838,   5.856
   0.208,  -9.814,   5.872
   0.210,  -9.838,   5.856
   0.212,  -9.836,   5.872
   0.214,  -9.836,   5.872
   0.216,  -9.834,   5.888
   0.218,  -9.814,   5.872
   0.220,  -9.816,   5.856
   0.222,  -9.812,   5.888
   0.224,  -9.834,   5.888
